FAMILIA;SUBFAMILIA;PRODUCTO;MEDIDAS
Otros;ROND PRESION;ROND PRESION EMP 5/8;N/A
Otros;Bobina ignicion;Bobina ignicion Ford F150, F250, Explorer (FD503);N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 6 X 3/4;N/A
Pijas;PIJA LAMINA;PIJA LAMINA COMB 12 X 1.1/2;N/A
Pijas;PIJA MADERA;PIJA MADERA MULTIUSOS PH NGRA 10 X 3;N/A
Tornillos;TORNILLO FLANGE;TORNILLO FLANGE 12 PUNTAS GR-8 3/4-10 X 5.1/2;N/A
Otros;CHAVETA INOXIDABLE-304;CHAVETA INOXIDABLE-304 1/4 X 3;N/A
Otros;ABRAZADERA ROSCA;ABRAZADERA ROSCA LIGERA 1/4-20 X 1.1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR5 3/4-10 X 4-1/2;N/A
Tuercas;TUERCA HEX;TUERCA HEX LATON 1/2-13;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 EMP 3/8-16 X 3;N/A
Otros;VALVULA IAC;VALVULA IAC CHRYSLER CIRRUS, NEON, STRATUS (95-00);N/A
Otros;82 CASQUILLO;82 CASQUILLO 7/16-14 NC x 9/16-12 NC;N/A
Tornillos;TORNILLO HEX;TORNILLO HEX MAQUINA VAS 5/16-18 X 5;N/A
Otros;21 CASQUILLO;21 CASQUILLO 10-1.00 X 1/2 NF;N/A
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL FLANGE CL 10.9 MM;M6-1.00 x 10|M6-1.00 x 12|M6-1.00 x 16|M6-1.00 x 20|M6-1.00 x 25|M6-1.00 x 30|M6-1.00 x 35|M6-1.00 x 40|M6-1.00 x 45|M6-1.00 x 50|M6-1.00 x 55|M6-1.00 x 60|M8-1.25 x 12|M8-1.25 x 16|M8-1.25 x 20|M8-1.25 x 25|M8-1.25 x 30|M8-1.25 x 35|M8-1.25 x 40|M8-1.25 x 45|M8-1.25 x 50|M8-1.25 x 55|M8-1.25 x 60|M10-1.50 x 16|M10-1.50 x 20|M10-1.50 x 25|M10-1.50 x 30|M10-1.50 x 35|M10-1.50 x 40|M10-1.50 x 45|M10-1.50 x 50|M10-1.50 x 55|M10-1.50 x 60|M10-1.50 x 70|M10-1.50 X 75|M10-1.50 x 80|M10-1.50 x 90|M10-1.50 x 100|M12-1.75 x 20|M12-1.75 x 25|M12-1.75 x 30|M12-1.75 x 35|M12-1.75 x 40|M12-1.75 x 45|M12-1.75 x 50|M12-1.75 x 55|M12-1.75 x 60|M12-1.75 x 70|M12-1.75 x 80|M12-1.75 x 90|M12-1.75 x 100|M12-1.75 x 110|M12-1.75 x 120|M16-2.00 x 30|M16-2.00 x 35|M16-2.00 x 40|M16-2.00 x 45|M16-2.00 x 50|M16-2.00 x 55|M16-2.00 x 60|M16-2.00 x 70|M16-2.00 x 80|M16-2.00 x 90|M16-2.00 x 100|M16-2.00 x 110|M16-2.00 x 120|M16-2.00 x 130|M16-2.00 x 140|M16-2.00 x 150
Tornillos;TORNILLO CABEZA/HEXAGONAL;TORNILLO CABEZA/HEXAGONAL CL8.8 MM CABEZA/V;M6-1.00 x 90|M6-1.00 x 100|M6-1.00 x 110|M6-1.00 x 120|M6-1.00 X 130|M6-1.00 X 140|M6-1.00 X 150|M8-1.25 x 60|M8-1.25 x 80|M8-1.25 x 90|M8-1.25 x 130|M8-1.25 x 140|M8-1.25 x 150|M8-1.25 x 160|M8-1.25 x 170|M8-1.25 x 180|M8-1.25 x 200|M10-1.50 x 65|M10-1.50 x 80|M10-1.50 x 130|M10-1.50 x 140|M10-1.50 x 150|M10-1.50 X 160|M10-1.50 X 170|M10-1.50 x 180|M10-1.50 x 200|M12-1.75 x 130|M12-1.75 x 140|M12-1.75 x 150|M12-1.75 x 160|M12-1.75 x 180|M12-1.75 x 200|M14-2.00 x 130|M14-2.00 x 140|M14-2.00 x 150|M16-2.00 x 130|M16-2.00 x 140|M16-2.00 x 150|M16-2.00 x 160|M16-2.00 x 180|M16-2.00 x 200|M16-2.00 X 220 NUEVO|M16-2.00 X 290 NUEVO|M18-2.50 X 130|M18-2.50 X 140|M18-2.50 x 150|M20-2.50 x 130|M20-2.50 x 140|M20-2.50 x 150|M20-2.50 x 160|M20-2.50 x 180|M20-2.50 x 200|M24-3.00 x 110|M24-3.00 x 120|M24-3.00 x 130|M24-3.00 x 140|M24-3.00 x 150|M24-3.00 x 160|M24-3.00 x 180|M24-3.00 x 200|M27-3.00 x 110|M27-3.00 x 120|M27-3.00 x 130|M27-3.00 x 140|M27-3.00 x 160|M27-3.00 x 180|M27-3.00 x 240|M30-3.50 x 130|M30-3.50 x 140|M30-3.50 x 150|M30-3.50 x 160|M30-3.50 x 170|M30-3.50 x 180|M30-3.50 x 200|M30-3.50 x 220|M30-3.50 x 230|M30-3.50 x 250|M30-3.50 x 270|M30-3.50 x 280|M30-3.50 x 300|M33-3.50 x 120|M33-3.50 x 130|M33-3.50 x 140|M33-3.50 x 150|M33-3.50 x 160|M33-3.50 x 180|M33-3.50 x 200|M33-3.50 x 220|M33-3.50 x 240|M33-3.50 x 260|M33-3.50 x 280|M33-3.50 x 300|M36-4.0 x 130|M36-4.0 x 140|M36-4.0 x 150|M36-4.0 x 160|M36-4.0 X 170|M36-4.0 x 180|M36-4.0 x 200|M36-4.0 x 220|M36-4.0 x 230|M36-4.0 x 250|M36-4.0 x 270|M36-4.0 x 280|M36-4.0 x 300|M42-4.50 x 100|M42-4.50 x 110|M42-4.50 x 120|M42-4.50 x 160|M42-4.50 x 180|M42-4.50 x 200|M42-4.50 x 220|M42-4.50 x 240|M42-4.50 x 260|M42-4.50 x 280|M42-4.50 x 300|M48-5.00 x 130|M48-5.00 x 140|M48-5.00 x 150|M48-5.00 x 160|M48-5.00 x 180|M48-5.00 x 200|M48-5.00 x 220|M48-5.00 x 240|M48-5.00 x 260|M48-5.00 x 280|M48-5.00 x 300
Tuercas;TUERCA HEX;TUERCA HEX GR-2 EMP 5/16-18;N/A
Otros;CHILILLO PHILLIPSLIPS;CHILILLO PHILLIPSLIPS 12 X 100;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/8 X 8;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA CHRYSLER CALIBER, PATRIOT (TX205);N/A
Otros;ROND PRESION;ROND PRESION NEGRA # 8;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 9/16 X 5;N/A
Otros;"7/1620 x;"7/1620 x 1.437"", Century, G.Prix, Volare, Duster 6081 Del/Tras";N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA 14 X 5 GALAXY;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/8 X 4;N/A
Varillas;VARILLA G-5;VARILLA G-5 ROSCA PAVONADA 1.1/2-6 X 1MT;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL AGUDA EMP 14 X 5;N/A
Tornillos;TORNILLO CAB;TORNILLO CAB HEX GRADO 5-FINO 5/16 X 1;N/A
Rondanas;RONDANA PLANA;RONDANA PLANA SAE KG 1/2;N/A
Tornillos;TORNILLO COCHE;TORNILLO COCHE GR-2 1/4-20 X 3/4;N/A
Tornillos;BOMBA GAS;BOMBA GAS GM CORSA TORNILLONADO FORD FIESTA ECOSPORT 0310;N/A
Pijas;PIJA HEXAGONAL;PIJA HEXAGONAL BROCA CABEZA/ACC INT PLUS 14 X 1.1/4;N/A
Tuercas;TUERCA HEX;TUERCA HEX GR-5 NF NEGRA 9/16-18;N/A
Otros;CHAVETA NEGRA;CHAVETA NEGRA 5/32 X 2;N/A
Otros;SENSOR TEMPERATURA;SENSOR TEMPERATURA BMW SERIE 1, 2, 3, 5, M5, M6, X5, X6 (TX128);N/A
Otros;m 12;m 12 x 1.25 mm Pick Up, Maxima KV,Ichivan;N/A
Otros;M14 X;M14 X 1.5 X 104.14mm. Chevrolet Camion 5 Tons Tras;N/A
Otros;Digital Caliper;Digital Caliper 150mm 0.02mm;Galaxy
Otros;"3/4-16 x;"3/4-16 x 4.187"" Caja Remolque Rin Acero Rueda Trasera";N/A
