CLAVE;NOMBRE;$ LISTA;EMPAQUE;GRANEL;DESC
1010002010;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 2-56 x 3/16;3,75;250;5000;77,00%
1010002020;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 2-56 x 1/4;3,75;250;5000;77,00%
1010002040;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 2-56 x 3/8;3,75;250;5000;77,00%
1010002060;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 2-56 x 1/2;4,07;250;5000;77,00%
1010002090;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 2-56 x 3/4;4,14;250;5000;77,00%
1010003020;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 3-48 x 1/4;4,47;250;5000;77,00%
1010003040;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 3-48 x 3/8;4,77;250;5000;77,00%
1010003060;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 3-48 x 1/2;4,91;250;5000;77,00%
1010003090;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 3-48 x 3/4;5,45;250;5000;77,00%
1010020010;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 4-40 x 3/16;2,99;500;5000;77,00%
1010020020;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 4-40 x 1/4;3,01;100;25000;77,00%
1010020030;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 4-40 x 5/16;3,25;500;5000;77,00%
1010020040;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 4-40 x 3/8;1,73;100;25000;77,00%
1010020060;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 4-40 x 1/2;2,04;100;20000;77,00%
1010020080;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 4-40 x 5/8;2,18;100;17500;77,00%
1010020090;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 4-40 x 3/4;2,42;100;15000;77,00%
1010020100;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 4-40 x 1;2,74;100;12500;77,00%
1010030020;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 1/4;1,96;100;15000;77,00%
1010030040;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 3/8;2,05;100;10000;77,00%
1010030060;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 1/2;2,08;100;10000;77,00%
1010030080;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 5/8;3,16;100;10000;77,00%
1010030090;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 3/4;2,33;100;12500;77,00%
1010030100;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 1;2,67;100;10000;77,00%
1010030120;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 1.1/4;3,05;100;10000;77,00%
1010030160;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 1.1/2;3,65;50;6000;77,00%
1010030200;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 5-40 x 2;4,68;50;5000;77,00%
1010040020;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 1/4;1,76;100;10000;77,00%
1010040030;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 5/16;3,01;250;5000;77,00%
1010040040;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 3/8;1,78;100;7500;77,00%
1010040060;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 1/2;1,91;100;10000;77,00%
1010040080;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 5/8;2,03;100;11000;77,00%
1010040090;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 3/4;2,15;100;6000;77,00%
1010040100;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 1;2,58;100;6000;77,00%
1010040120;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 1.1/4;3,19;50;7000;77,00%
1010040160;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 1.1/2;3,92;50;3000;77,00%
1010040200;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 6-32 x 2;6,85;50;4000;77,00%
1010050020;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 1/4;1,78;100;8000;77,00%
1010050040;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 3/8;1,21;100;8000;77,00%
1010050060;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 1/2;1,38;100;8000;78,00%
1010050080;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 5/8;1,56;100;8000;78,00%
1010050090;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 3/4;1,72;100;4500;78,00%
1010050100;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 1;2,07;100;4500;78,00%
1010050120;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 1.1/4;2,51;100;4500;78,00%
1010050160;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 1.1/2;2,88;100;2400;78,00%
1010050200;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 2;3,51;50;2250;78,00%
1010050260;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 2.1/2;12,99;50;3000;78,00%
1010050300;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 8-32 x 3;16,67;50;2500;78,00%
1010100040;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 3/8;1,19;100;8000;78,00%
1010100060;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 1/2;1,35;100;4500;78,00%
1010100080;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 5/8;1,70;100;4500;78,00%
1010100090;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 3/4;1,65;100;4500;78,00%
1010100095;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 7/8;2,25;100;4500;78,00%
1010100100;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 1;1,96;100;4500;78,00%
1010100120;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 1.1/4;2,66;100;2400;78,00%
1010100160;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 1.1/2;2,69;100;2400;78,00%
1010100190;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 1.3/4;3,51;100;2400;78,00%
1010100200;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 2;3,28;100;1800;78,00%
1010100220;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 2.1/4;5,25;100;2500;78,00%
1010100260;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 2.1/2;5,10;100;2000;78,00%
1010100290;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 2-3/4;9,89;125;1250;78,00%
1010100300;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 3;7,26;50;1500;78,00%
1010100360;TORNILLO SOCKET CABEZA/CILINDRO NEGRO NC - 10-24 x 3.1/2;11,74;50;1250;78,00%
